"Groupe";"CD_REF";"LB_NOM";"NOM_COMPLET";"NOM_VERN";"CLASSE";"ORDRE";"FAMILLE";"PN";"PN_det";"LRN";"LRN_det";"LRN_N";"LRN_N_det";"LRN_H";"LRN_H_det";"LRN_P";"LRN_P_det";"DH";"DH_det";"DO";"DO_det"
"Amphibiens";202;"Alytes obstetricans obstetricans";"Alytes obstetricans obstetricans (Laurenti, 1768)";"Alyte accoucheur (L')";"Amphibia";"Anura";"Alytidae";"FRAR2";NA;NA;NA;NA;NA;NA;NA;NA;NA;"CDH4";NA;NA;NA
"Amphibiens";197;"Alytes obstetricans";"Alytes obstetricans (Laurenti, 1768)";"Alyte accoucheur (L'), Crapaud accoucheur";"Amphibia";"Anura";"Alytidae";"FRAR2";NA;"LC";NA;NA;NA;NA;NA;NA;NA;"CDH4";NA;NA;NA
"Amphibiens";964271;"Alytes almogavarii";"Alytes almogavarii Arntzen & García-París, 1995";"Alyte catalan (L'),  Alyte accoucheur almogavare (L')";"Amphibia";"Anura";"Alytidae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Amphibiens";1010138;"Alytes almogavarii almogavarii";"Alytes almogavarii almogavarii Arntzen & García-París, 1995";"Alyte catalan almogavare (L')";"Amphibia";"Anura";"Alytidae";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Amphibiens";444427;"Calotriton asper";"Calotriton asper (Al. Dugès, 1852)";"Calotriton des Pyrénées (Le), Euprocte des Pyrénées";"Amphibia";"Urodela";"Salamandridae";"FRAR2";NA;"VU";"B(1+2)ab(ii,iii,iv,v)";NA;NA;NA;NA;NA;NA;"CDH4";NA;NA;NA
"Amphibiens";459628;"Epidalea calamita";"Epidalea calamita (Laurenti, 1768)";"Crapaud calamite (Le)";"Amphibia";"Anura";"Bufonidae";"FRAR2";NA;"LC";NA;NA;NA;NA;NA;NA;NA;"CDH4";NA;NA;NA
"Amphibiens";259;"Bufo bufo";"Bufo bufo (Linnaeus, 1758)";"Crapaud commun (Le)";"Amphibia";"Anura";"Bufonidae";"FRAR3";NA;"LC";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Amphibiens";819822;"Bufotes viridis";"Bufotes viridis (Laurenti, 1768)";"Crapaud vert (Le)";"Amphibia";"Anura";"Bufonidae";"FRAR2";NA;"NT";"pr. B(1+2)a";NA;NA;NA;NA;NA;NA;"CDH4";NA;NA;NA
"Amphibiens";819825;"Bufotes viridis viridis";"Bufotes viridis viridis (Laurenti, 1768)";"Crapaud vert (Le)";"Amphibia";"Anura";"Bufonidae";"FRAR2";NA;"EN";"B2ab(iii,iv,v)";NA;NA;NA;NA;NA;NA;"CDH4";NA;NA;NA
"Amphibiens";819824;"Bufotes viridis balearicus";"Bufotes viridis balearicus (Boettger, 1880)";"Crapaud vert des Baléares (Le)";"Amphibia";"Anura";"Bufonidae";"FRAR2";NA;"LC";NA;NA;NA;NA;NA;NA;NA;"CDH4";NA;NA;NA
"Amphibiens";774678;"Bufo spinosus";"Bufo spinosus (Daudin, 1803)";"Crapaud épineux (Le)";"Amphibia";"Anura";"Bufonidae";"FRAR3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Amphibiens";223;"Discoglossus montalentii";"Discoglossus montalentii Lanza, Nascetti, Capula & Bullini, 1984";"Discoglosse Corse (Le)";"Amphibia";"Anura";"Discoglossidae";"FRAR2";NA;"NT";"pr. B(1+2)a";NA;NA;NA;NA;NA;NA;"CDH2, CDH4";NA;NA;NA
"Amphibiens";225;"Discoglossus pictus";"Discoglossus pictus Otth, 1837";"Discoglosse peint (Le)";"Amphibia";"Anura";"Discoglossidae";NA;NA;"NA";"a";NA;NA;NA;NA;NA;NA;"CDH4";NA;NA;NA
