"REGION";"CD_REF";"PR";"PR_det";"LRR";"LRR_det";"LRR_N";"LRR_N_det";"LRR_H";"LRR_H_det";"LRR_P";"LRR_P_det";"ZNIEFF";"ZNIEFF_det"
"Alsace";"139";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"197";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"212";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"240";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"281";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"299";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"965";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"977";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"1952";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"1958";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"1966";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"1972";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"1991";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"1998";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"2440";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"2473";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"2477";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"2481";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"2497";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"2504";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"2506";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"2508";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"2514";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"2517";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"2543";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"2559";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"2563";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"2576";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"2586";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"2603";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
"Alsace";"2616";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"2623";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alsace";"2645";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Oui";NA
